molecule_chembl_id,median_ic50_nM,n_measurements,min_ic50_nM,max_ic50_nM,pIC50,canonical_smiles,valid_smiles
CHEMBL1173324,13370.0,1,13370.0,13370.0,4.873868592738016,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccccc1F,True
CHEMBL1173397,15240.0,1,15240.0,15240.0,4.8170150329964185,COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(C)=O)cc1,True
CHEMBL1173398,20040.0,1,20040.0,20040.0,4.698102282804792,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1,True
CHEMBL1173454,3060.0,1,3060.0,3060.0,5.514278573518419,Cc1ccc(C2=NN(C(N)=S)C(c3ccc([N+](=O)[O-])cc3)C2)cc1C,True
CHEMBL1173455,830.0,1,830.0,830.0,6.080921907623926,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(F)cc3)C2)cc1C,True
CHEMBL1173456,1360.0,1,1360.0,1360.0,5.866461091629782,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(Cl)cc3)C2)cc1C,True
CHEMBL1173457,2170.0,1,2170.0,2170.0,5.66354026615147,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(Br)cc3)C2)cc1C,True
CHEMBL1173601,6430.0,1,6430.0,6430.0,5.191789027075778,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Br,True
CHEMBL1173602,7280.0,1,7280.0,7280.0,5.137868620686962,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl,True
CHEMBL1173651,3240.0,1,3240.0,3240.0,5.489454989793388,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Br)cc1,True
CHEMBL1173652,7830.0,1,7830.0,7830.0,5.106238237942057,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1,True
CHEMBL1173653,8110.0,1,8110.0,8110.0,5.090979145788844,Cc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,True
CHEMBL1173655,3.162,51,0.061,1401.0,8.500038134403809,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,True
CHEMBL1173665,6560.0,1,6560.0,6560.0,5.1830961606243395,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1F,True
CHEMBL1173666,7780.0,1,7780.0,7780.0,5.109020403010311,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc([N+](=O)[O-])cc1,True
CHEMBL1173667,5270.0,1,5270.0,5270.0,5.278189384787453,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(O)cc1,True
CHEMBL1173680,17190.0,1,17190.0,17190.0,4.764724123312948,COc1ccc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(C)=O)cc1,True
CHEMBL1173688,4210.0,1,4210.0,4210.0,5.375717904164332,Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3Br)C2)cc1C,True
CHEMBL1173713,10850.0,1,10850.0,10850.0,4.964570261815451,COc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,True
CHEMBL1173714,6820.0,1,6820.0,6820.0,5.166215625343521,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(C(C)C)cc1,True
CHEMBL1173718,620.0,1,620.0,620.0,6.207608310501746,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,True
CHEMBL1173783,1270.0,1,1270.0,1270.0,5.896196279044043,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(OCc2ccccc2)cc1,True
CHEMBL1173789,25000.0,1,25000.0,25000.0,4.6020599913279625,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1[N+](=O)[O-],True
CHEMBL1173794,3870.0,1,3870.0,3870.0,5.412289034981089,Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3Cl)C2)cc1C,True
CHEMBL1173813,340.0,1,340.0,340.0,6.468521082957745,Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,True
CHEMBL1173814,70.0,1,70.0,70.0,7.154901959985743,COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,True
CHEMBL1173815,130.0,1,130.0,130.0,6.886056647693163,Cc1ccc(C2=NN(C(N)=S)C(c3ccc(O)cc3)C2)cc1C,True
CHEMBL1173816,18450.0,1,18450.0,18450.0,4.734003629504921,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(Br)cc1,True
CHEMBL117554,7000.0,1,7000.0,7000.0,5.154901959985743,Clc1ccc(CNc2ncnc3ccccc23)cc1,True
CHEMBL117697,842.0,1,842.0,842.0,6.0746879085003505,COc1cccc(Nc2ncnc3ccccc23)c1,True
CHEMBL117710,756.0,1,756.0,756.0,6.121478204498794,Brc1cccc(Oc2ncnc3ccccc23)c1,True
