molecule_chembl_id,canonical_smiles,pIC50,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,RingCount,HeavyAtomCount
CHEMBL93461,CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.397940008672037,357.21100000000007,4.094300000000002,66.91,2,4,3,3,22
CHEMBL93464,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.060480747381382,383.2490000000001,4.650500000000003,66.91,2,4,4,3,24
CHEMBL93537,O=C(/C=C/CN1CCSCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.692503962086787,484.4230000000001,4.679400000000004,70.15,2,6,6,4,30
CHEMBL93544,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],5.698970004336019,388.2250000000001,4.110100000000003,84.19,1,6,4,3,24
CHEMBL93545,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.275724130399211,360.1710000000001,3.6263000000000014,106.97,2,6,3,3,22
CHEMBL93635,O=[N+]([O-])c1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,6.09151498112135,300.70500000000004,3.9350000000000014,80.95,1,5,3,3,21
CHEMBL93734,CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-],7.552841968657781,402.20800000000014,4.002500000000002,110.05000000000001,2,6,4,3,25
CHEMBL93754,O=C(/C=C/Cn1cccn1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.949233688766958,449.31200000000007,4.527300000000003,84.73,2,5,6,4,29
CHEMBL93783,CN(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)CCO,7.853871964321762,456.34400000000016,3.5547000000000017,90.38000000000001,3,6,8,3,29
CHEMBL93784,COCC1CCCN1CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.187086643357144,494.39300000000014,4.188600000000003,79.38,2,6,6,4,32
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.528708288941061,446.9100000000004,4.275600000000003,68.74000000000001,1,7,8,4,31
CHEMBL93966,Nc1ccc2c(Nc3cccc(F)c3)ncnc2c1,8.698970004336019,254.26800000000003,3.0947000000000005,63.83,2,4,2,3,19
